,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,acapulco,16.86,-99.89,89.6,66.0,75.0,3.6,MX,06/23/2020
1,kurilsk,45.23,147.88,47.21000000000008,91.0,93.0,2.73,RU,06/23/2020
2,sinnamary,5.38,-52.95,79.34000000000002,89.0,100.0,4.78,GF,06/23/2020
3,faanui,-16.48,-151.75,78.89000000000001,78.0,39.0,7.71,PF,06/23/2020
4,leningradskiy,69.38,178.42,32.32400000000001,96.0,100.0,6.2,RU,06/23/2020
5,lipno,52.84,19.18,59.55800000000001,84.0,0.0,4.73,PL,06/23/2020
6,rikitea,-23.12,-134.97,69.8,50.0,99.0,3.62,PF,06/23/2020
7,altamont,42.21,-121.74,84.2,23.0,1.0,0.71,US,06/23/2020
8,jamestown,42.1,-79.24,73.4,78.0,90.0,5.7,US,06/23/2020
9,farmington,36.73,-108.22,87.8,12.0,1.0,3.1,US,06/23/2020
10,auxerre,47.8,3.57,77.0,42.0,37.0,3.61,FR,06/23/2020
11,ucluelet,48.93,-125.55,64.00400000000005,87.0,90.0,2.1,CA,06/23/2020
12,bhubaneswar,20.23,85.83,84.2,94.0,75.0,4.1,IN,06/23/2020
14,kalmunai,7.42,81.82,82.23800000000004,77.0,100.0,2.07,LK,06/23/2020
16,bluff,-46.6,168.33,39.00200000000008,83.0,67.0,1.34,NZ,06/23/2020
17,hithadhoo,-0.6,73.08,84.11000000000008,76.0,100.0,3.97,MV,06/23/2020
18,tuktoyaktuk,69.45,-133.04,37.4,93.0,90.0,8.2,CA,06/23/2020
19,airai,-8.93,125.41,55.52600000000009,100.0,51.0,1.59,TL,06/23/2020
20,saskylakh,71.92,114.08,74.69600000000005,43.0,28.0,2.78,RU,06/23/2020
21,antofagasta,-23.65,-70.4,60.8,67.0,20.0,6.2,CL,06/23/2020
22,provideniya,64.38,-173.3,41.774000000000015,66.0,22.0,3.69,RU,06/23/2020
23,saint-georges,12.06,-61.75,87.8,66.0,20.0,8.7,GD,06/23/2020
24,yellowknife,62.46,-114.35,59.0,67.0,75.0,7.2,CA,06/23/2020
25,tatarbunary,45.84,29.61,69.99800000000002,83.0,34.0,2.49,UA,06/23/2020
